line,arm,step,slice,n_items,k,pass_at_k_,pass_at_k_lo,pass_at_k_hi,best_reward_at_k_,best_reward_at_k_lo,best_reward_at_k_hi
3b,base,0,overall,1581,1,0.14089801747311825,0.12951494925086968,0.15332327739563564,1.492809912218693,1.4761203440428274,1.5086510003255222
3b,base,0,overall,1581,2,0.20058054223125393,0.18583748542017886,0.21623426647089455,1.6319960798285142,1.6142963754889346,1.6496939732119529
3b,base,0,overall,1581,4,0.2618505500392751,0.24502437867053087,0.2800269314553928,1.7251785519776384,1.7057931213315176,1.7444739630464374
3b,base,0,overall,1581,8,0.3211828984384735,0.30215323129054444,0.3404910814256193,1.798751760349577,1.779029599332377,1.8193300773644023
3b,base,0,overall,1581,16,0.3792176053993798,0.35888848025755604,0.4000031530054645,1.8644812519073346,1.8437644156980517,1.8856896742366573
3b,base,0,overall,1581,32,0.43684626646083907,0.4163517315979521,0.4586357740113439,1.9266397041414314,1.9056227826273624,1.9488033379729917
3b,base,0,overall,1581,64,0.49390112008674025,0.47311182840200566,0.51586755282866,1.9864997029304887,1.9652147089373762,2.0087523184800564
3b,base,0,overall,1581,128,0.5483641028699662,0.5268877381762619,0.5710320046506127,2.0428234761208586,2.021016217793376,2.0654365877621514
3b,base,0,category:CAD,261,1,0.11123084291187736,0.08465244103208809,0.14109027029454016,1.4855963145672082,1.452257142087334,1.5215798343233597
3b,base,0,category:CAD,261,2,0.16129516653732814,0.12620557299984625,0.1994293540785665,1.6184432791384695,1.5801455815048886,1.6596872403661775
3b,base,0,category:CAD,261,4,0.2140434741126245,0.172745244343681,0.2603027754509258,1.6954222764240592,1.6526972209929283,1.7427393102272548
3b,base,0,category:CAD,261,8,0.26847170427131134,0.22308879114434724,0.3174632016505984,1.7580756757011102,1.7114868127139007,1.8073111951069265
3b,base,0,category:CAD,261,16,0.32592949187455894,0.2767745771409129,0.3761251546905869,1.8194202955644767,1.7695012868304811,1.8704685097722888
3b,base,0,category:CAD,261,32,0.3866150765991908,0.3358945254719171,0.4377236940779907,1.8820582267385826,1.831948711328428,1.9342390967222256
3b,base,0,category:CAD,261,64,0.45160479502130635,0.4016740876344839,0.5073421460194748,1.9480030706552403,1.8971789354162107,2.0027218393837964
